date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:39:51	1447/1447	---MCZ	404	error ('Not%20Found')	text/html	etag:1590816338-ssl-df	https://www.rijorajan.website/robots.txt		(from )
17:39:52	67775/67775	U--MCZ	200	updated ('OK')	text/html	etag:%22074eb41e3fb529822e1c868f88b5f3f6-ssl-df%22	https://www.rijorajan.website/	C:/My%20Web%20Sites/Personal%20Website/www.rijorajan.website/index.html	(from )
17:39:52	1203/1203	U--M-Z	200	updated ('OK')	text/css	etag:%22a86df2a0925acf192e1b503812c677b4-ssl-df%22	https://www.rijorajan.website/css/reset.css	C:/My%20Web%20Sites/Personal%20Website/www.rijorajan.website/css/reset.css	(from https://www.rijorajan.website/)
17:39:52	3156/3156	---MCZ	404	error ('Not%20Found')	text/html	etag:1590816338-ssl-df	https://www.rijorajan.website/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/Personal%20Website/www.rijorajan.website/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://www.rijorajan.website/)
17:39:53	4411/4411	U--MCZ	200	updated ('OK')	text/css	etag:%22960d19fa0e4d8bda4017dfb5035666ba-ssl-df%22	https://www.rijorajan.website/css/perfect-scrollbar.css	C:/My%20Web%20Sites/Personal%20Website/www.rijorajan.website/css/perfect-scrollbar.css	(from https://www.rijorajan.website/)
17:39:53	28977/28977	U--MCZ	200	updated ('OK')	text/css	etag:%2253d4a30d06a4cb8ed3021a82aaab709d-ssl-df%22	https://www.rijorajan.website/css/bootstrap-grid.min.css	C:/My%20Web%20Sites/Personal%20Website/www.rijorajan.website/css/bootstrap-grid.min.css	(from https://www.rijorajan.website/)
17:39:53	4124/4124	U--M-Z	200	updated ('OK')	text/css	etag:%227daec8301eb9343c480ca384ab7efa3c-ssl-df%22	https://www.rijorajan.website/css/owl.carousel.css	C:/My%20Web%20Sites/Personal%20Website/www.rijorajan.website/css/owl.carousel.css	(from https://www.rijorajan.website/)
17:39:53	42981/42981	U--MCZ	200	updated ('OK')	text/css	etag:%229f06dccf739de0a1bd37765658dee445-ssl-df%22	https://www.rijorajan.website/css/animations.css	C:/My%20Web%20Sites/Personal%20Website/www.rijorajan.website/css/animations.css	(from https://www.rijorajan.website/)
17:39:53	3156/3156	---MCZ	404	error ('Not%20Found')	text/html	etag:1590816338-ssl-df	https://www.rijorajan.website/www.google.com/recaptcha/api.js	C:/My%20Web%20Sites/Personal%20Website/www.rijorajan.website/www.google.com/recaptcha/api.js	(from https://www.rijorajan.website/)
17:39:54	9358/9358	U--M-Z	200	updated ('OK')	application/javascript	etag:%22f4b1b8fc653fb64b6e173ba125c68bba-ssl-df%22	https://www.rijorajan.website/js/modernizr.custom.js	C:/My%20Web%20Sites/Personal%20Website/www.rijorajan.website/js/modernizr.custom.js	(from https://www.rijorajan.website/)
17:39:55	7782/7782	U--MCZ	200	updated ('OK')	text/css	etag:%2291f58734f9ab28050576304de3bf3ff0-ssl-df%22	https://www.rijorajan.website/css/magnific-popup.css	C:/My%20Web%20Sites/Personal%20Website/www.rijorajan.website/css/magnific-popup.css	(from https://www.rijorajan.website/)
17:39:56	63358/63358	U--MCZ	200	updated ('OK')	text/css	etag:%2256f0bf27166562a25a70424e9d2bc64f-ssl-df%22	https://www.rijorajan.website/css/main.css	C:/My%20Web%20Sites/Personal%20Website/www.rijorajan.website/css/main.css	(from https://www.rijorajan.website/)
17:40:22	51128/51128	U-----	200	untouched ('')	image/png	etag:%22966b5c4d7f892111c56dfaae4a735784-ssl%22	https://www.rijorajan.website/img/main_bg.png	C:/My%20Web%20Sites/Personal%20Website/www.rijorajan.website/img/main_bg.png	(from https://www.rijorajan.website/)
17:40:48	23787/23787	U-----	200	untouched ('')	image/jpeg	etag:e235a5febd60c27a76a63f64ef5dcf8d016b6ceb	https://d33wubrfki0l68.cloudfront.net/c61dbe3f6377521b1992b394c671ce463a4e4992/27f3f/img/main_photo.replace.jpg	C:/My%20Web%20Sites/Personal%20Website/d33wubrfki0l68.cloudfront.net/c61dbe3f6377521b1992b394c671ce463a4e4992/27f3f/img/main_photo.replace.jpg	(from https://www.rijorajan.website/)
17:40:48	4166/4166	U-----	200	untouched ('')	image/jpeg	etag:b17c40992cef1c22d78d847c99d83be56e955a78	https://d33wubrfki0l68.cloudfront.net/a7fe193568d94f1e06127ba5a424baa4f1f67921/bbacf/img/testimonials/testimonial.1.jpg	C:/My%20Web%20Sites/Personal%20Website/d33wubrfki0l68.cloudfront.net/a7fe193568d94f1e06127ba5a424baa4f1f67921/bbacf/img/testimonials/testimonial.1.jpg	(from https://www.rijorajan.website/)
17:40:49	4891/4891	U-----	200	untouched ('')	image/jpeg	etag:c1393a62a9e7f4b9e976a1cffc8a5500083f2e30	https://d33wubrfki0l68.cloudfront.net/edd6fd9b709e40326beea979b933b49de6ec4c16/0cfcc/img/testimonials/testimonial.3.jpg	C:/My%20Web%20Sites/Personal%20Website/d33wubrfki0l68.cloudfront.net/edd6fd9b709e40326beea979b933b49de6ec4c16/0cfcc/img/testimonials/testimonial.3.jpg	(from https://www.rijorajan.website/)
17:41:16	5012/5012	U-----	200	untouched ('')	image/jpeg	etag:cfac86a6b811df0634b1d44bb9bdc8994e47b2ad	https://d33wubrfki0l68.cloudfront.net/8fec5f2c2c8671c6049c5d8cca0f1912dfa01556/28d90/img/testimonials/testimonial.2.jpg	C:/My%20Web%20Sites/Personal%20Website/d33wubrfki0l68.cloudfront.net/8fec5f2c2c8671c6049c5d8cca0f1912dfa01556/28d90/img/testimonials/testimonial.2.jpg	(from https://www.rijorajan.website/)
17:41:42	87591/87591	U-----	200	untouched ('')	image/png	etag:71437ccfdb882f48b90b960ae0981182cf8234be	https://d33wubrfki0l68.cloudfront.net/13151b061a8cf8bd704ae343014e4c49b05a2aa3/cfb2a/img/clients/ibm_certification.png	C:/My%20Web%20Sites/Personal%20Website/d33wubrfki0l68.cloudfront.net/13151b061a8cf8bd704ae343014e4c49b05a2aa3/cfb2a/img/clients/ibm_certification.png	(from https://www.rijorajan.website/)
17:41:42	6883/6883	U-----	200	untouched ('')	image/png	etag:d36642b2facf503cd0b1eb5bb3ff395dcc17a179	https://d33wubrfki0l68.cloudfront.net/3e7265d44a90af51a3c7b8277f1856c62c85d1da/4813d/img/clients/client-1.png	C:/My%20Web%20Sites/Personal%20Website/d33wubrfki0l68.cloudfront.net/3e7265d44a90af51a3c7b8277f1856c62c85d1da/4813d/img/clients/client-1.png	(from https://www.rijorajan.website/)
17:41:42	39777/39777	U-----	200	untouched ('')	image/png	etag:4020e8ed212164859d66cad2f5d33da1556bae7f	https://d33wubrfki0l68.cloudfront.net/838cf7b892e2f9bd0212bb0286f3cc17cd1f5436/08074/img/clients/client-2.png	C:/My%20Web%20Sites/Personal%20Website/d33wubrfki0l68.cloudfront.net/838cf7b892e2f9bd0212bb0286f3cc17cd1f5436/08074/img/clients/client-2.png	(from https://www.rijorajan.website/)
17:41:44	13062/13062	U--MCZ	200	updated ('OK')	application/javascript	etag:%22bb28eaa6dbccb1d411cfa8762f1aac95-ssl-df%22	https://www.rijorajan.website/js/animating.js	C:/My%20Web%20Sites/Personal%20Website/www.rijorajan.website/js/animating.js	(from https://www.rijorajan.website/)
17:41:44	5441/5441	U--MCZ	200	updated ('OK')	application/javascript	etag:%22da643771d4f39b25b62cd0945b17ab35-ssl-df%22	https://www.rijorajan.website/js/imagesloaded.pkgd.min.js	C:/My%20Web%20Sites/Personal%20Website/www.rijorajan.website/js/imagesloaded.pkgd.min.js	(from https://www.rijorajan.website/)
17:41:45	14462/14462	U--M-Z	200	updated ('OK')	application/javascript	etag:%22cd9257a483ad911fa227449a85e0ce97-ssl-df%22	https://www.rijorajan.website/js/jquery.shuffle.min.js	C:/My%20Web%20Sites/Personal%20Website/www.rijorajan.website/js/jquery.shuffle.min.js	(from https://www.rijorajan.website/)
17:41:46	24719/24719	U--MCZ	200	updated ('OK')	application/javascript	etag:%2278cbe6361241e305bf02ad121259be90-ssl-df%22	https://www.rijorajan.website/js/perfect-scrollbar.min.js	C:/My%20Web%20Sites/Personal%20Website/www.rijorajan.website/js/perfect-scrollbar.min.js	(from https://www.rijorajan.website/)
17:41:47	84322/84322	U--MCZ	200	updated ('OK')	application/javascript	etag:%2267af5d7b10b0858f69269bcc1ea502fc-ssl-df%22	https://www.rijorajan.website/js/jquery-2.1.3.min.js	C:/My%20Web%20Sites/Personal%20Website/www.rijorajan.website/js/jquery-2.1.3.min.js	(from https://www.rijorajan.website/)
17:41:47	23601/23601	U--MCZ	200	updated ('OK')	application/javascript	etag:%2292e64f20327d228ee3fbba8f7f24101b-ssl-df%22	https://www.rijorajan.website/js/masonry.pkgd.min.js	C:/My%20Web%20Sites/Personal%20Website/www.rijorajan.website/js/masonry.pkgd.min.js	(from https://www.rijorajan.website/)
17:41:48	20216/20216	U--M-Z	200	updated ('OK')	application/javascript	etag:%22de7e372104543a7f474f79429d52f241-ssl-df%22	https://www.rijorajan.website/js/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/Personal%20Website/www.rijorajan.website/js/jquery.magnific-popup.min.js	(from https://www.rijorajan.website/)
17:41:48	9046/9046	U--M-Z	200	updated ('OK')	application/javascript	etag:%22ddd2abfd879b91100dcfb1e6cbc42f57-ssl-df%22	https://www.rijorajan.website/js/validator.js	C:/My%20Web%20Sites/Personal%20Website/www.rijorajan.website/js/validator.js	(from https://www.rijorajan.website/)
17:41:48	7350/7350	U--M-Z	200	updated ('OK')	application/javascript	etag:%22667a302dc3dd4b0cd32d4f2a35a54b3f-ssl-df%22	https://www.rijorajan.website/js/jquery.googlemap.js	C:/My%20Web%20Sites/Personal%20Website/www.rijorajan.website/js/jquery.googlemap.js	(from https://www.rijorajan.website/)
17:41:49	42766/42766	U--MCZ	200	updated ('OK')	application/javascript	etag:%2299315d4d5913a4eb6259ea8083135254-ssl-df%22	https://www.rijorajan.website/js/owl.carousel.min.js	C:/My%20Web%20Sites/Personal%20Website/www.rijorajan.website/js/owl.carousel.min.js	(from https://www.rijorajan.website/)
17:41:49	4769/4769	U--M-Z	200	updated ('OK')	application/javascript	etag:%222ab7ff95b0b91246870f7e5437498cbb-ssl-df%22	https://www.rijorajan.website/js/main.js	C:/My%20Web%20Sites/Personal%20Website/www.rijorajan.website/js/main.js	(from https://www.rijorajan.website/)
17:41:49	8368/8368	U--MCZ	200	updated ('OK')	text/css	etag:%221bb46576892b1ca7dc0d4c6b491737fe-ssl-df%22	https://www.rijorajan.website/css/fonts/linear-icons-font/style.css	C:/My%20Web%20Sites/Personal%20Website/www.rijorajan.website/css/fonts/linear-icons-font/style.css	(from https://www.rijorajan.website/css/main.css)
17:41:49	13524/13524	U-----	200	untouched ('')	image/png	etag:8fb8eddb985a66deb40068763ea9ca98d5f1f803	https://d33wubrfki0l68.cloudfront.net/bb12592eae7712e33e2f294fe95b76645d1ca6fa/21721/img/clients/client-3.png	C:/My%20Web%20Sites/Personal%20Website/d33wubrfki0l68.cloudfront.net/bb12592eae7712e33e2f294fe95b76645d1ca6fa/21721/img/clients/client-3.png	(from https://www.rijorajan.website/)
17:41:50	21780/21780	U-----	200	untouched ('')	font/woff2	etag:%22c20ce2963a765622e5788ee5698ede04-ssl%22	https://www.rijorajan.website/css/fonts/linear-icons-font/fonts/Linearicons-Free54e9.woff2?w118d	C:/My%20Web%20Sites/Personal%20Website/www.rijorajan.website/css/fonts/linear-icons-font/fonts/Linearicons-Free54e954e9.woff2	(from https://www.rijorajan.website/css/fonts/linear-icons-font/style.css)
17:41:51	57345/57345	U--MCZ	200	updated ('OK')	text/css	etag:%229c836fce7d4ca66347b894bc880b8ec3-ssl-df%22	https://www.rijorajan.website/css/fonts/fontawesome-free-5.12.1-web/css/all.min.css	C:/My%20Web%20Sites/Personal%20Website/www.rijorajan.website/css/fonts/fontawesome-free-5.12.1-web/css/all.min.css	(from https://www.rijorajan.website/css/main.css)
17:41:51	55820/55820	U--MCZ	200	updated ('OK')	application/octet-stream	etag:%2294b7ce6be525cc6165c7a80a29c1114b-ssl-df%22	https://www.rijorajan.website/css/fonts/linear-icons-font/fonts/Linearicons-Free54e9.eot?w118d	C:/My%20Web%20Sites/Personal%20Website/www.rijorajan.website/css/fonts/linear-icons-font/fonts/Linearicons-Free54e954e9.eot	(from https://www.rijorajan.website/css/fonts/linear-icons-font/style.css)
17:41:51	55820/55820	U--MCZ	200	updated ('OK')	application/octet-stream	etag:%2294b7ce6be525cc6165c7a80a29c1114b-ssl-df%22	https://www.rijorajan.website/css/fonts/linear-icons-font/fonts/Linearicons-Freed41d.eot?	C:/My%20Web%20Sites/Personal%20Website/www.rijorajan.website/css/fonts/linear-icons-font/fonts/Linearicons-Freed41dd41d.eot	(from https://www.rijorajan.website/css/fonts/linear-icons-font/style.css)
17:41:51	55620/55620	U-----	200	untouched ('')	font/ttf	etag:%2262cc18a67e2858bf22318612c249b193-ssl%22	https://www.rijorajan.website/css/fonts/linear-icons-font/fonts/Linearicons-Free54e9.ttf?w118d	C:/My%20Web%20Sites/Personal%20Website/www.rijorajan.website/css/fonts/linear-icons-font/fonts/Linearicons-Free54e954e9.ttf	(from https://www.rijorajan.website/css/fonts/linear-icons-font/style.css)
17:41:55	55696/55696	U--MCZ	200	updated ('OK')	application/font-woff	etag:%2254bbc99000479db0b702fe2e91f79795-ssl-df%22	https://www.rijorajan.website/css/fonts/linear-icons-font/fonts/Linearicons-Free54e9.woff?w118d	C:/My%20Web%20Sites/Personal%20Website/www.rijorajan.website/css/fonts/linear-icons-font/fonts/Linearicons-Free54e954e9.woff	(from https://www.rijorajan.website/css/fonts/linear-icons-font/style.css)
17:41:55	76548/76548	U-----	200	untouched ('')	font/woff2	etag:%22dd361dc6419491aaa9adde6feea0c09a-ssl%22	https://www.rijorajan.website/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-brands-400.woff2	C:/My%20Web%20Sites/Personal%20Website/www.rijorajan.website/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-brands-400.woff2	(from https://www.rijorajan.website/css/fonts/fontawesome-free-5.12.1-web/css/all.min.css)
17:41:58	205847/205847	U--MCZ	200	updated ('OK')	image/svg+xml	etag:%220c5d4d68f4555ff63bcba3cacb7e9870-ssl-df%22	https://www.rijorajan.website/css/fonts/linear-icons-font/fonts/Linearicons-Free54e9.svg?w118d	C:/My%20Web%20Sites/Personal%20Website/www.rijorajan.website/css/fonts/linear-icons-font/fonts/Linearicons-Free54e954e9.svg	(from https://www.rijorajan.website/css/fonts/linear-icons-font/style.css)
17:41:59	132728/132728	U-----	200	untouched ('')	font/ttf	etag:%22d2c5f8afa77186eee6197a156bd6d59b-ssl%22	https://www.rijorajan.website/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-brands-400.ttf	C:/My%20Web%20Sites/Personal%20Website/www.rijorajan.website/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-brands-400.ttf	(from https://www.rijorajan.website/css/fonts/fontawesome-free-5.12.1-web/css/all.min.css)
